_c0,ts,open,high,low,close,volume,ts_readable,ma_50_raw,ma_50,prev_close,prev_ma50,buy_signal
12859,1736461140000,184.68,184.79,184.61,184.68,3287.368,2025-01-10 03:49:00,184.96380000000002,184.96380000000002,184.68,184.99259999999998,0
12860,1736461200000,184.69,184.7,184.55,184.63,2591.652,2025-01-10 03:50:00,184.94259999999997,184.94259999999997,184.68,184.96380000000002,0
12861,1736461260000,184.62,184.63,184.44,184.49,1281.808,2025-01-10 03:51:00,184.91359999999997,184.91359999999997,184.63,184.94259999999997,0
12862,1736461320000,184.49,184.79,184.49,184.78,1268.978,2025-01-10 03:52:00,184.89059999999998,184.89059999999998,184.49,184.91359999999997,0
12863,1736461380000,184.78,185.01,184.78,184.96,3221.694,2025-01-10 03:53:00,184.87439999999998,184.87439999999998,184.78,184.89059999999998,1
12864,1736461440000,184.96,185.26,184.96,185.26,1934.313,2025-01-10 03:54:00,184.86919999999998,184.86919999999998,184.96,184.87439999999998,0
12865,1736461500000,185.26,185.58,185.23,185.58,4226.016,2025-01-10 03:55:00,184.87079999999997,184.87079999999997,185.26,184.86919999999998,0
12866,1736461560000,185.58,185.58,185.33,185.39,3038.426,2025-01-10 03:56:00,184.8658,184.8658,185.58,184.87079999999997,0
12867,1736461620000,185.39,185.53,185.38,185.5,1035.969,2025-01-10 03:57:00,184.8576,184.8576,185.39,184.8658,0
12868,1736461680000,185.49,185.59,185.49,185.54,1205.577,2025-01-10 03:58:00,184.8466,184.8466,185.5,184.8576,0
12869,1736461740000,185.55,185.69,185.54,185.69,1482.637,2025-01-10 03:59:00,184.8376,184.8376,185.54,184.8466,0
12870,1736461800000,185.69,186.22,185.69,186.2,3981.635,2025-01-10 04:00:00,184.83820000000006,184.83820000000006,185.69,184.8376,0
12871,1736461860000,186.2,186.75,186.2,186.34,3889.916,2025-01-10 04:01:00,184.84600000000006,184.84600000000006,186.2,184.83820000000006,0
12872,1736461920000,186.33,186.33,186.0,186.26,3501.192,2025-01-10 04:02:00,184.85660000000007,184.85660000000007,186.34,184.84600000000006,0
